Name,العنوان,Gov,Ds,Area,Logo,Mobile,Telephone,User
السبع اوتوسيرفيس,"القطعة 250 - - المنطقة الصناعية, زهراء المعادى, المعادى, القاهرة.",القاهرة.,"المعادى, القاهرة.","المعادى,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345693,212345693,3
المجموعة المتحدة للتجارة والتوزيع - مركز خدمة تويوتا,"القطعة 339 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345694,212345694,3
رامب اوتو سيرفس,"1 ش ابراهيم نوار متفرع من ش احمد فخرى, مدينة نصر, القاهرة.",القاهرة.,"نصر, القاهرة.","نصر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345695,212345695,3
مركز خدمة بى ام دبليو - ترانسميشن,"القطعة 1722 - - محور الكفراوى, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345696,212345696,3
ايسترن الشرقاوى,"172 ش جوزيف تيتو طريق السندباد, مصر الجديدة, القاهرة.",القاهرة.,"الجديدة, القاهرة.","الجديدة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345697,212345697,3
نيو تك لخدمة واصلاح وصيانة السيارات ووسائل النقل,"القطعة 120 - طريق مصر اسكندرية الصحرواى - المنطقة الصناعية - ابو رواش, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345698,212345698,3
ميركو لصناعة الردياتيرات والمعادن,"بلوك 20031-10 - الامتداد الغربى - المنطقة الصناعية, مدينة العبور, القليوبية.",القليوبية.,"العبور, القليوبية.","العبور,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345699,212345699,3
ابو عدى - ملك الرينو,"القطعة 3/65 - المحور المركزى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345700,212345700,3
احمد السلامونى لاستيراد قطع غيار السيارات,"26 ش دولتيان ميدان الخلفاوى - برج اللؤلؤة, اغاخان, القاهرة.",القاهرة.,"اغاخان, القاهرة.","اغاخان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345701,212345701,3
ايجيبسا للمواقف الاوتوماتيكية للسيارات - ش. م. م,"1 ش اليمن - , الدقى, الجيزة.",الجيزة.,"الدقى, الجيزة.","الدقى,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345702,212345702,3
امريكان كينجدام,"89 ب ش 7, حدائق الاهرام, الهرم, الجيزة.",الجيزة.,"الهرم, الجيزة.","الهرم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345703,212345703,3
الشرق الاوسط للخدمات الفنية - ميتسكو,"2 عمارات العبور - طريق صلاح سالم, مصر الجديدة, القاهرة.",القاهرة.,"الجديدة, القاهرة.","الجديدة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345704,212345704,3
الشركة المتحدة للمعدات,"10 ش د. احمد ندا, ميدان الحجاز, مصر الجديدة, القاهرة.",القاهرة.,"الجديدة, القاهرة.","الجديدة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345705,212345705,3
360,"سور نادى الزمالك - ش 26 يوليو, المهندسين, الجيزة.",الجيزة.,"المهندسين, الجيزة.","المهندسين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345706,212345706,3
5 نجوم,"ش شركات البترول - بلوك 10 - مساكن الزاوية الحمرا القديمة, الزاوية الحمراء, القاهرة.",القاهرة.,"الحمراء, القاهرة.","الحمراء,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345707,212345707,3
7 سليندرز,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345708,212345708,3
ابراهيم,"ش الشوربجى - صفط اللبن, بولاق الدكرور, الجيزة.",الجيزة.,"الدكرور, الجيزة.","الدكرور,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345709,212345709,3
ابراهيم,"6 حارة رابعة العدوية, شبرا الخيمة, القليوبية.",القليوبية.,"الخيمة, القليوبية.","الخيمة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345710,212345710,3
ابراهيم,"ش داير الناحية - صفط اللبن, بولاق الدكرور, الجيزة.",الجيزة.,"الدكرور, الجيزة.","الدكرور,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345711,212345711,3
ابراهيم ابراهيم مصطفى,"9 ش سان سابا, محطة الرمل, الاسكندرية.",الاسكندرية.,"الرمل, الاسكندرية.","الرمل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345712,212345712,3
ابراهيم الحداد,"31 ش معروف, وسط البلد, القاهرة.",القاهرة.,"البلد, القاهرة.","البلد,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345713,212345713,3
ابراهيم الكوالنجى,"1 حارة منصور, المهندسين, الجيزة.",الجيزة.,"المهندسين, الجيزة.","المهندسين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345714,212345714,3
ابراهيم اللواء,"ش سعد زغلول, بلبيس, الشرقية.",الشرقية.,"بلبيس, الشرقية.","بلبيس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345715,212345715,3
ابراهيم امام لاصلاح السيارات,"88 ش صبرى ابو علم, شبين الكوم, المنوفية.",المنوفية.,"الكوم, المنوفية.","الكوم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345716,212345716,3
ابراهيم تفلو,"25 ش ابى الدرداء, اللبان, الاسكندرية.",الاسكندرية.,"اللبان, الاسكندرية.","اللبان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345717,212345717,3
ابراهيم عبد الله خضر,"ش همازين, كفر الزيات, الغربية.",الغربية.,"الزيات, الغربية.","الزيات,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345718,212345718,3
ابراهيم على السيد,"31 ش النور, اللبان, الاسكندرية.",الاسكندرية.,"اللبان, الاسكندرية.","اللبان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345719,212345719,3
ابراهيم عمر,"19 ش محمود خاطر تقاطع ش راغب, حلوان, القاهرة.",القاهرة.,"حلوان, القاهرة.","حلوان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345720,212345720,3
ابراهيم لميكانيكا السيارات,"26 ش جسر المشروع, الشهداء, المنوفية.",المنوفية.,"الشهداء, المنوفية.","الشهداء,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345721,212345721,3
ابراهيم ندا,"48 ش غرب السكة الحديد, عزبة النخل, القاهرة.",القاهرة.,"النخل, القاهرة.","النخل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345722,212345722,3
ابن الحتة,"ش الزهراء, مدينة بدر, البحيرة.",البحيرة.,"بدر, البحيرة.","بدر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345723,212345723,3
ابناء ابراهيم عبده مصطفى,"33 ش الشهيد محمد السيد حفنى, سبورتنج, الاسكندرية.",الاسكندرية.,"سبورتنج, الاسكندرية.","سبورتنج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345724,212345724,3
ابناء ابو قسطور,"95 ش مصطفى فهمى, حلوان, القاهرة.",القاهرة.,"حلوان, القاهرة.","حلوان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345725,212345725,3
ابناء التلاوى لصيانة السيارات,"6 ش زيادة, شبين الكوم, المنوفية.",المنوفية.,"الكوم, المنوفية.","الكوم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345726,212345726,3
ابناء الثورة,"26 مساكن العبد القديم -, مدينة السلام, القاهرة.",القاهرة.,"السلام, القاهرة.","السلام,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345727,212345727,3
ابناء الحاج مرشد لسمكرة السيارات,"51 ش التروللى - كفر الشرفا, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345728,212345728,3
ابناء الدقهلية,"ش مؤسسة الزكاة, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345729,212345729,3
ابناء الدقهلية لميكانيكا السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345730,212345730,3
ابناء الشرقية,"ش عدوى سليم, العمرانية الغربية, الهرم, الجيزة.",الجيزة.,"الهرم, الجيزة.","الهرم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345731,212345731,3
ابناء الشرقية لصيانة التوك توك,"2 ش عبد الخالق عمير, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345732,212345732,3
ابناء الغربية,"ش ناصف اسعد تقاطع ش السكة الحديد, امبابة, الجيزة.",الجيزة.,"امبابة, الجيزة.","امبابة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345733,212345733,3
ابناء الغربية لصيانة السيارات,"5 ش ابراهيم جميل - بشتيل, اوسيم, الجيزة.",الجيزة.,"اوسيم, الجيزة.","اوسيم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345734,212345734,3
ابناء المحلة,"بلوك 5 - مساكن الصعيد 1000 -, مدينة السلام, القاهرة.",القاهرة.,"السلام, القاهرة.","السلام,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345735,212345735,3
ابناء المنصورة,"ش الامامين, دار السلام, القاهرة.",القاهرة.,"السلام, القاهرة.","السلام,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345736,212345736,3
ابناء المنصورة,"ش مؤسسة الزكاة, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345737,212345737,3
ابناء المنصورة لصيانة السيارات,"7 ش الترعة الكردية, المرج الجديدة, القاهرة.",القاهرة.,"الجديدة, القاهرة.","الجديدة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345738,212345738,3
ابناء بلبيس,"ش ترعة الجندى, حدائق القبة, القاهرة.",القاهرة.,"القبة, القاهرة.","القبة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345739,212345739,3
ابناء بلبيس,"258 ش عزيز المصرى, جسر السويس, القاهرة.",القاهرة.,"السويس, القاهرة.","السويس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345740,212345740,3
ابناء بلبيس لصيانة السيارات,"1 ش محمد محمد عبده, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345741,212345741,3
ابناء بلبيس لصيانة السيارات,"4 ش امام عبد الحميد - وراق العرب, الوراق, الجيزة.",الجيزة.,"الوراق, الجيزة.","الوراق,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345742,212345742,3
ابناء بنها لصيانة السيارات,"102 ش جمال عبد الناصر, الخصوص, القليوبية.",القليوبية.,"الخصوص, القليوبية.","الخصوص,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345743,212345743,3
ابناء راشد,"ش الجيش, كفر الزيات, الغربية.",الغربية.,"الزيات, الغربية.","الزيات,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345744,212345744,3
ابناء طنطا لكهرباء السيارات,"28 ش عين شمس, عين شمس, القاهرة.",القاهرة.,"شمس, القاهرة.","شمس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345745,212345745,3
ابناء عابدين,"ش 6 اكتوبر, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345746,212345746,3
ابناء عاطف لميكانيكا السيارات,"37 ش سلام - ابو قتادة, بولاق الدكرور, الجيزة.",الجيزة.,"الدكرور, الجيزة.","الدكرور,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345747,212345747,3
ابناء ميت غمر,"مساكن عين شمس - ش 6 اكتوبر, عين شمس, القاهرة.",القاهرة.,"شمس, القاهرة.","شمس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345748,212345748,3
ابناء ميت غمر,"15 مساكن الدلتا -, مدينة السلام, القاهرة.",القاهرة.,"السلام, القاهرة.","السلام,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345749,212345749,3
ابناء ميت غمر,"ش 15 مايو, شبرا الخيمة, القليوبية.",القليوبية.,"الخيمة, القليوبية.","الخيمة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345750,212345750,3
ابناء ميت غمر لصيانة السيارات,"المجاورة الثالثة, الحى الاول, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345751,212345751,3
ابو احمد لدهانات السيارات,"بلوك 17 - , الحرفيين, القاهرة.",القاهرة.,"الحرفيين, القاهرة.","الحرفيين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345752,212345752,3
ابو احمد لزيوت السيارات,"5 ش عبد ربه فرغل, عزبة النخل, القاهرة.",القاهرة.,"النخل, القاهرة.","النخل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345753,212345753,3
ابو احمد لفرش السيارات,"31 ش الجمهورية, اوسيم, الجيزة.",الجيزة.,"اوسيم, الجيزة.","اوسيم,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345754,212345754,3
ابو احمد لكهرباء السيارات,"الطريق الدائرى - العزبة البيضاء, الخصوص, القليوبية.",القليوبية.,"الخصوص, القليوبية.","الخصوص,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345755,212345755,3
ابو ادهم,"13 ش 15 مايو, شبرا الخيمة, القليوبية.",القليوبية.,"الخيمة, القليوبية.","الخيمة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345756,212345756,3
ابو ادهم لميكانيكا السيارات,"29 ش متولى الشعراوى - وراق العرب, الوراق, الجيزة.",الجيزة.,"الوراق, الجيزة.","الوراق,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345757,212345757,3
ابو اشرف,"89 ش الصفا والمروة, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345758,212345758,3
ابو السعود,"47 ش عمرو بن العاص, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345759,212345759,3
ابو الهنا,"52 ش انور السادات - مدينة الفتح, شبرا الخيمة, القليوبية.",القليوبية.,"الخيمة, القليوبية.","الخيمة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345760,212345760,3
ابو الوفا,"42 ش ابن الحكم, الزيتون, القاهرة.",القاهرة.,"الزيتون, القاهرة.","الزيتون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345761,212345761,3
ابو انس,"ش المساكن, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345762,212345762,3
ابو باسل,"114 ش ابراهيم عبد الرازق, عين شمس, القاهرة.",القاهرة.,"شمس, القاهرة.","شمس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345763,212345763,3
ابو حسام,"22 ش غرب السكة الحديد, عزبة النخل, القاهرة.",القاهرة.,"النخل, القاهرة.","النخل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345764,212345764,3
ابو حسن لصيانة السيارات,"16 ش ترعة ترسا - قرية ترسا, ابو النمرس, الجيزة.",الجيزة.,"النمرس, الجيزة.","النمرس,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345765,212345765,3
ابو حسين,"58 ش د. لاشين, الكوم الاخضر, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345766,212345766,3
ابو حسين,"42 ش القناطر الخيرية, قها, القليوبية.",القليوبية.,"قها, القليوبية.","قها,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345767,212345767,3
ابو حكيم,"ش المساكن, فيصل, الجيزة.",الجيزة.,"فيصل, الجيزة.","فيصل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345768,212345768,3
ابو حلوة لبويات السيارات,"8 ش الحسن والحسين, العصافرة قبلى, الاسكندرية.",الاسكندرية.,"قبلى, الاسكندرية.","قبلى,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345769,212345769,3
ابو حمادة,"ش الجامع, المنيب, الجيزة.",الجيزة.,"المنيب, الجيزة.","المنيب,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345770,212345770,3
ابو خالد,"ش بقطر متفرع من ش الخليل صادق, عين شمس الشرقية, القاهرة.",القاهرة.,"الشرقية, القاهرة.","الشرقية,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345771,212345771,3
ابو خطوة,"3 ش رأفت الطهطاوى, الحرفيين, القاهرة.",القاهرة.,"الحرفيين, القاهرة.","الحرفيين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345772,212345772,3
ابو دينا,"ش احمد بيومى, البساتين, القاهرة.",القاهرة.,"البساتين, القاهرة.","البساتين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345773,212345773,3
ابو رامى لدهان السيارات,"23 طريق ابو صير, الحوامدية, الجيزة.",الجيزة.,"الحوامدية, الجيزة.","الحوامدية,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345774,212345774,3
ابو رحمة,"ش الجمعية الزراعية, عين شمس الشرقية, القاهرة.",القاهرة.,"الشرقية, القاهرة.","الشرقية,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345775,212345775,3
ابو رحمة,"19 مساكن ايجيكو -, مدينة السلام, القاهرة.",القاهرة.,"السلام, القاهرة.","السلام,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345776,212345776,3
ابو رواش لسمكرة السيارات,"11 ش السوق الكبير, البدرشين, الجيزة.",الجيزة.,"البدرشين, الجيزة.","البدرشين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345777,212345777,3
ابو رودى لكهرباء السيارات,"38 ش بورسعيد, البدرشين, الجيزة.",الجيزة.,"البدرشين, الجيزة.","البدرشين,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345778,212345778,3
ابو زاهر لصيانة السيارات,"ش 26 يوليو, ميت غمر, الدقهلية.",الدقهلية.,"غمر, الدقهلية.","غمر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345779,212345779,3
ابو زياد,"15 ش الفيروز, عزبة النخل, القاهرة.",القاهرة.,"النخل, القاهرة.","النخل,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345780,212345780,3
ابو زياد السروجى,"80 - مشروع 103, الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345781,212345781,3
ابو زياد لتجارة فرش السيارات,"38 ش طلعت حرب, الشهداء, المنوفية.",المنوفية.,"الشهداء, المنوفية.","الشهداء,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345782,212345782,3
ابو زياد لميكانيكا السيارات,"1 ش سيد امين حمادة, المرج, القاهرة.",القاهرة.,"المرج, القاهرة.","المرج,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345783,212345783,3
ابو سعد,"ش ابى سيفين, مصر القديمة, القاهرة.",القاهرة.,"القديمة, القاهرة.","القديمة,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345784,212345784,3
