Name,العنوان,Gov,Ds,Area,Logo,Mobile,Telephone,Brand,Service,DayOff,OpenH,CloseH,User
الورشة الفنية لصيانة السيارات,"63 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348264,212348264,Honda Nisan Renault,Essential,Monday,9 AM,6 PM,3
الورشة الفنية لصيانة السيارات,"5 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348297,212348297,Honda,Full,Saturday Sunday,11 AM,11 PM,3
الورشة الفنية لضبط ابواب السيارات,"96 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348304,212348304,Peugeot Volvo,ميكانيكا,Saturday Sunday,9 AM,9 PM,3
الورشة الفنية لكهرباء السيارات,"73 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348352,212348352,Suzuki Subaru,عفشة فرامل,Saturday Sunday,10 AM,10 PM,3
الورشة الفنية لميكانيكا السيارات,"73 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348472,212348472,Toyota Seat,سمكرة,Friday Saturday,9 AM,6 PM,3
الورشة الفنية لميكانيكا السيارات,"9 طريق شماعة - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348492,212348492,Seat Peugeot,تكيف,Friday Saturday,11 AM,11 PM,3
جميل معوض لميكانيكا السيارات,"8 طريق شماعة - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012348960,212348960,Nisan Renault,بطاريات,Friday Saturday,9 AM,9 PM,3
سيد لصيانة السيارات,"121 ش بورسعيد - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012349308,212349308,Honda Nisan Renault,صيانة,Friday Saturday,10 AM,10 PM,3
فريندز,"ش البحر - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012349578,212349578,Honda,Tyres AC,Friday Saturday,9 AM,6 PM,3
محمد صبرى لكهرباء السيارات,"96 طريق الباجور - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012349796,212349796,Peugeot Volvo,Essential,Saturday Sunday,11 AM,11 PM,3
مركز عبد النبى,"ش سعد زغلول, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350298,212350298,Suzuki Subaru,Full,Monday,9 AM,9 PM,3
مركز ناصر,"ش البحر - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350354,212350354,Toyota Seat,ميكانيكا,Monday,10 AM,10 PM,3
موتورز مصر لصيانة السيارات,"102 ش بورسعيد - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350426,212350426,Seat Peugeot,عفشة فرامل,Saturday Sunday,9 AM,6 PM,3
وائل لصيانة السيارات,"82 ش بورسعيد - سنتريس, اشمون, المنوفية.",المنوفية.,"اشمون, المنوفية.","اشمون,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012350532,212350532,Nisan Renault,سمكرة,Saturday Sunday,11 AM,11 PM,3
الورشة الفنية,"ش بطل السلام, اطسا, الفيوم.",الفيوم.,"اطسا, الفيوم.","اطسا,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012347783,212347783,Honda Nisan Renault,تكيف,Saturday Sunday,9 AM,9 PM,3
احمد السلامونى لاستيراد قطع غيار السيارات,"26 ش دولتيان ميدان الخلفاوى - برج اللؤلؤة, اغاخان, القاهرة.",القاهرة.,"اغاخان, القاهرة.","اغاخان,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345701,212345701,Honda,بطاريات,Friday Saturday,10 AM,10 PM,3
شركة هاى تك لخدمة وسائل النقل,"القطعة 73 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345678,212345678,Peugeot Volvo,صيانة,Friday Saturday,9 AM,6 PM,3
جونسون ايجيبت,"16 المحور المركزى, الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345683,212345683,Suzuki Subaru,Tyres AC,Friday Saturday,11 AM,11 PM,3
مصر للسيارات لخدمة وسائل النقل,"قطعة رقم 4 - ش حمادة امام - المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345685,212345685,Peugeot,Essential,Friday Saturday,9 AM,9 PM,3
مركز البستان لتجديد السيارات,"القطعة 199 - ش 7 - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345687,212345687,Suzuki,Full,Friday Saturday,10 AM,10 PM,3
نادى السيارات للصيانة المتقدمة,"الاردنية, الحى السابع, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345691,212345691,Toyota,ميكانيكا,Saturday Sunday,9 AM,6 PM,3
المجموعة المتحدة للتجارة والتوزيع - مركز خدمة تويوتا,"القطعة 339 - - امتداد المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345694,212345694,Seat Kia Nisan TATA,عفشة فرامل,Monday,11 AM,11 PM,3
مركز خدمة بى ام دبليو - ترانسميشن,"القطعة 1722 - - محور الكفراوى, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345696,212345696,Nisan,سمكرة,Monday,9 AM,9 PM,3
نيو تك لخدمة واصلاح وصيانة السيارات ووسائل النقل,"القطعة 120 - طريق مصر اسكندرية الصحرواى - المنطقة الصناعية - ابو رواش, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345698,212345698,Honda MINI BMW FIAT,تكيف,Saturday Sunday,10 AM,10 PM,3
ابو عدى - ملك الرينو,"القطعة 3/65 - المحور المركزى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345700,212345700,Honda JAC,بطاريات,Saturday Sunday,9 AM,6 PM,3
7 سليندرز,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345708,212345708,Peugeot GMC Tesla,صيانة,Saturday Sunday,11 AM,11 PM,3
ابناء الدقهلية لميكانيكا السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345730,212345730,Seat Kia Nisan TATA,Tyres AC,Friday Saturday,9 AM,9 PM,3
ابناء ميت غمر لصيانة السيارات,"المجاورة الثالثة, الحى الاول, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345751,212345751,Nisan,Essential,Friday Saturday,10 AM,10 PM,3
ابو زياد السروجى,"80 - مشروع 103, الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345781,212345781,Honda MINI BMW FIAT,Full,Friday Saturday,9 AM,6 PM,3
ابو شمالة لخدمات السيارات,"محور الكفراوى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345789,212345789,Honda JAC,ميكانيكا,Friday Saturday,11 AM,11 PM,3
ابو طارق لصيانة السيارات,"المجاورة الخامسة, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345793,212345793,Peugeot GMC Tesla,عفشة فرامل,Friday Saturday,9 AM,9 PM,3
ابو على,"., الحى 12, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345802,212345802,Seat Kia Nisan TATA,سمكرة,Saturday Sunday,10 AM,10 PM,3
احمد العفريت لكهرباء السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345841,212345841,Nisan,تكيف,Monday,9 AM,6 PM,3
احمد وسيد للسيارات,"المحور المركزى 2, الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345881,212345881,Honda MINI BMW FIAT,بطاريات,Monday,11 AM,11 PM,3
اكسبريس كار سيرفيس,"295 المجاورة الاولى, الحى الخامس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345939,212345939,Honda JAC,صيانة,Saturday Sunday,9 AM,9 PM,3
الاخلاص لميكانيكا للسيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345963,212345963,Peugeot GMC Tesla,Tyres AC,Saturday Sunday,10 AM,10 PM,3
الارزاق بالله,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012345989,212345989,Toyota,Essential,Saturday Sunday,9 AM,6 PM,3
الاستاذ لصيانة السيارات,"محور الكفراوى - المجاورة الثامنة, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346000,212346000,Seat,Full,Friday Saturday,11 AM,11 PM,3
الاسلامية لخدمات السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346014,212346014,Honda MINI BMW FIAT,ميكانيكا,Friday Saturday,9 AM,9 PM,3
الاصدقاء لاصلاح السيارات,"المجاورة الخامسة, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346033,212346033,Honda JAC,عفشة فرامل,Friday Saturday,10 AM,10 PM,3
الالمانية للسيارات,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346059,212346059,Peugeot GMC Tesla,سمكرة,Friday Saturday,9 AM,6 PM,3
الامل لاصلاح السيارات,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346068,212346068,Seat Kia Nisan TATA,تكيف,Friday Saturday,11 AM,11 PM,3
البطل,"., الحى العاشر, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346136,212346136,Nisan,بطاريات,Saturday Sunday,9 AM,9 PM,3
البطل لزيوت السيارات,"المجاورة السادسة, الحى العاشر, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346139,212346139,Honda MINI BMW FIAT,صيانة,Monday,10 AM,10 PM,3
الحرمين لخدمة السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346237,212346237,Honda JAC,Tyres AC,Monday,9 AM,6 PM,3
الدرويش,"المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346276,212346276,Peugeot GMC Tesla,Essential,Saturday Sunday,11 AM,11 PM,3
الزعيم,"المجاورة التاسعة, الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346345,212346345,Seat Kia Nisan TATA,Full,Saturday Sunday,9 AM,9 PM,3
السماحة,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346385,212346385,Nisan,ميكانيكا,Saturday Sunday,10 AM,10 PM,3
السورى لدهان السيارات,"المجاورة الخامسة, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346393,212346393,Honda MINI BMW FIAT,عفشة فرامل,Friday Saturday,9 AM,6 PM,3
الشركة الاهلية للخدمات الصناعية - نيسكو,"قطعة 210 - - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346422,212346422,Honda JAC,سمكرة,Friday Saturday,11 AM,11 PM,3
الشركة العصرية للصناعات المغذية للسيارات,"القطعة 225 ش 6 المحور الخدمى الثانى - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346431,212346431,Peugeot GMC Tesla,تكيف,Friday Saturday,9 AM,9 PM,3
الشركة الهندسية للصناعات الدقيقة,"القطعة 10/244 - - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346447,212346447,Toyota,بطاريات,Friday Saturday,10 AM,10 PM,3
الشيخ لزيوت السيارات,"اسكان الشباب 100 متر -, الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346465,212346465,Seat,صيانة,Friday Saturday,9 AM,6 PM,3
العالمية لاصلاح السيارات,"المجاورة الخامسة, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346560,212346560,Honda MINI BMW FIAT,Tyres AC,Saturday Sunday,11 AM,11 PM,3
العالمية لخدمات السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346564,212346564,Honda JAC,Essential,Monday,9 AM,9 PM,3
العالمية لصيانة السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346568,212346568,Peugeot GMC Tesla,Full,Monday,10 AM,10 PM,3
العالمية موتورز,"اسواق التعمير - الحى التاسع, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346575,212346575,Seat Kia Nisan TATA,ميكانيكا,Saturday Sunday,9 AM,6 PM,3
الفارس لاصلاح السيارات,"المجاورة الخامسة, الحى الثالث, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346613,212346613,Nisan,عفشة فرامل,Saturday Sunday,11 AM,11 PM,3
الفنان لدهانات السيارات,"., الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346633,212346633,Honda MINI BMW FIAT,سمكرة,Saturday Sunday,9 AM,9 PM,3
الفنية للسيارات,"73 - مشروع 103, الحى السادس, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346772,212346772,Honda JAC,تكيف,Friday Saturday,10 AM,10 PM,3
الكورية,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346820,212346820,Peugeot GMC Tesla,بطاريات,Friday Saturday,9 AM,6 PM,3
الليثى,"3 المجاورة الاولى, الحى 12, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346831,212346831,Seat Kia Nisan TATA,صيانة,Friday Saturday,11 AM,11 PM,3
المتحدة للسيارات,"المجاورة لخامسة, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346858,212346858,Nisan,Tyres AC,Friday Saturday,9 AM,9 PM,3
المتميز لصيانة السيارات,"المجاورة الخامسة, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346866,212346866,Honda MINI BMW FIAT,Essential,Friday Saturday,10 AM,10 PM,3
المركز السورى,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346915,212346915,Honda JAC,Full,Saturday Sunday,9 AM,6 PM,3
المركز العالمى لصيانة السيارات,"الحى السابع, الحى السابع, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346918,212346918,Peugeot GMC Tesla,ميكانيكا,Monday,11 AM,11 PM,3
المركز الفنى,"., السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346961,212346961,Toyota,عفشة فرامل,Monday,9 AM,9 PM,3
المركز الفنى,"محور الكفراوى, الحى الثانى, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346964,212346964,Seat,سمكرة,Saturday Sunday,10 AM,10 PM,3
المركز الفنى,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012346971,212346971,Honda MINI BMW FIAT,تكيف,Saturday Sunday,9 AM,6 PM,3
المركز الهندسى لخدمة الشكمانات,"القطعة 145 - ش 6 - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012347067,212347067,Honda JAC,بطاريات,Saturday Sunday,11 AM,11 PM,3
المناهرى لكهرباء السيارات,"ش سعاد كفافى, الحى المتميز, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012347121,212347121,Peugeot GMC Tesla,صيانة,Friday Saturday,9 AM,9 PM,3
المندراوى,"., الحى 11, السادس من اكتوبر, الجيزة.",الجيزة.,"اكتوبر, الجيزة.","اكتوبر,",https://www.gravatar.com/userimage/149914919/819c469de5b45e55450c1ce6d5b9f40d?size=120,1012347122,212347122,Seat Kia Nisan TATA,Tyres AC,Friday Saturday,10 AM,10 PM,3
